0.0.0.0/7	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
2.0.0.0/7	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
4.0.0.0/9	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
4.128.0.0/9	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
5.0.0.0/9	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
5.128.0.0/11	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
5.160.0.0/11	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
5.192.0.0/13	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
5.200.0.0/13	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
5.208.0.0/13	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
5.216.0.0/15	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
5.218.0.0/17	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		9
5.218.128.0/19	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
5.218.160.0/19	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
5.218.192.0/21	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
5.218.200.0/21	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
5.218.208.0/21	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
5.218.216.0/23	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
5.218.218.0/23	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
5.218.220.0/23	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		6
5.218.222.0/24	0.0.0.0/3	0.0.0.0/16	0.0.0.0/17		8
5.218.223.0/25	0.0.0.0/3	0.0.0.0/16	0.0.0.0/18		8
5.218.223.128/25	0.0.0.0/3	0.0.0.0/16	0.0.0.0/18		13
5.218.223.0/25	0.0.0.0/3	0.0.0.0/16	0.0.64.0/18		3
5.218.223.128/25	0.0.0.0/3	0.0.0.0/16	0.0.64.0/18		6
5.218.222.0/24	0.0.0.0/3	0.0.0.0/16	0.0.128.0/17		3
5.218.223.0/24	0.0.0.0/3	0.0.0.0/16	0.0.128.0/17		8
5.218.224.0/21	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
5.218.232.0/23	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		8
5.218.234.0/23	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		8
5.218.236.0/25	0.0.0.0/4	0.0.0.0/16	0.0.0.0/17		14
5.218.236.128/25	0.0.0.0/4	0.0.0.0/16	0.0.0.0/17		7
5.218.236.0/25	0.0.0.0/4	0.0.0.0/16	0.0.128.0/17		6
5.218.236.128/25	0.0.0.0/4	0.0.0.0/16	0.0.128.0/17		3
5.218.237.0/24	0.0.0.0/4	0.0.0.0/16	0.0.0.0/16		10
5.218.236.0/25	16.0.0.0/4	0.0.0.0/16	0.0.0.0/17		14
5.218.236.128/25	16.0.0.0/4	0.0.0.0/16	0.0.0.0/17		8
5.218.236.0/25	16.0.0.0/4	0.0.0.0/16	0.0.128.0/17		6
5.218.236.128/25	16.0.0.0/4	0.0.0.0/16	0.0.128.0/17		4
5.218.237.0/24	16.0.0.0/4	0.0.0.0/16	0.0.0.0/16		12
5.218.238.0/23	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		13
5.218.240.0/21	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
5.218.248.0/21	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
5.219.0.0/17	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		8
5.219.128.0/17	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		8
5.220.0.0/15	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
5.222.0.0/15	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
5.224.0.0/11	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
6.0.0.0/7	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
8.0.0.0/5	0.0.0.0/3	0.0.0.0/16	0.0.0.0/16		5
0.0.0.0/6	32.0.0.0/6	0.0.0.0/16	0.0.0.0/16		11
0.0.0.0/6	36.0.0.0/6	0.0.0.0/16	0.0.0.0/16		15
0.0.0.0/6	40.0.0.0/6	0.0.0.0/16	0.0.0.0/16		5
0.0.0.0/6	44.0.0.0/6	0.0.0.0/16	0.0.0.0/16		10
4.0.0.0/8	32.0.0.0/7	0.0.0.0/16	0.0.0.0/17		5
4.0.0.0/8	34.0.0.0/7	0.0.0.0/16	0.0.0.0/17		11
4.0.0.0/8	36.0.0.0/7	0.0.0.0/16	0.0.0.0/17		11
4.0.0.0/8	38.0.0.0/7	0.0.0.0/16	0.0.0.0/17		9
5.0.0.0/9	32.0.0.0/7	0.0.0.0/16	0.0.0.0/18		5
5.0.0.0/9	34.0.0.0/7	0.0.0.0/16	0.0.0.0/18		11
5.0.0.0/9	36.0.0.0/7	0.0.0.0/16	0.0.0.0/18		11
5.0.0.0/9	38.0.0.0/7	0.0.0.0/16	0.0.0.0/18		9
5.128.0.0/10	32.0.0.0/7	0.0.0.0/16	0.0.0.0/19		5
5.128.0.0/10	34.0.0.0/7	0.0.0.0/16	0.0.0.0/19		11
5.128.0.0/10	36.0.0.0/7	0.0.0.0/16	0.0.0.0/19		11
5.128.0.0/10	38.0.0.0/7	0.0.0.0/16	0.0.0.0/19		9
5.192.0.0/12	32.0.0.0/6	0.0.0.0/16	0.0.0.0/20		11
5.208.0.0/14	32.0.0.0/6	0.0.0.0/16	0.0.0.0/20		11
5.212.0.0/14	32.0.0.0/6	0.0.0.0/16	0.0.0.0/20		11
5.216.0.0/16	32.0.0.0/6	0.0.0.0/16	0.0.0.0/20		11
5.217.0.0/16	32.0.0.0/6	0.0.0.0/16	0.0.0.0/20		11
5.218.0.0/17	32.0.0.0/6	0.0.0.0/16	0.0.0.0/21		12
5.218.128.0/18	32.0.0.0/6	0.0.0.0/16	0.0.0.0/22		10
5.218.192.0/19	32.0.0.0/6	0.0.0.0/16	0.0.0.0/23		13
5.218.224.0/22	32.0.0.0/6	0.0.0.0/16	0.0.0.0/24		7
5.218.228.0/22	32.0.0.0/6	0.0.0.0/16	0.0.0.0/24		7
5.218.232.0/22	32.0.0.0/6	0.0.0.0/16	0.0.0.0/24		9
