0.0.0.0/4	0.0.0.0/0	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	0.0.0.0/4	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	16.0.0.0/6	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	20.0.0.0/6	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	24.0.0.0/6	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	28.0.0.0/8	0.0.0.0/16	0.0.0.0/16		1
16.0.0.0/4	29.0.0.0/10	0.0.0.0/16	0.0.0.0/16		1
16.0.0.0/4	29.64.0.0/10	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	29.128.0.0/12	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	29.144.0.0/12	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	29.160.0.0/14	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	29.164.0.0/18	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	29.164.64.0/18	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	29.164.128.0/18	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	29.164.192.0/20	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	29.164.208.0/20	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	29.164.224.0/24	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	29.164.225.0/24	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	29.164.226.0/26	0.0.0.0/16	0.0.0.0/16		8
16.0.0.0/4	29.164.226.64/26	0.0.0.0/16	0.0.0.0/16		11
16.0.0.0/4	29.164.226.128/26	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	29.164.226.192/26	0.0.0.0/16	0.0.0.0/16		12
16.0.0.0/4	29.164.227.0/24	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	29.164.228.0/22	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	29.164.232.0/22	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	29.164.236.0/22	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	29.164.240.0/20	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	29.165.0.0/16	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	29.166.0.0/16	0.0.0.0/16	0.0.0.0/16		3
16.0.0.0/4	29.167.0.0/16	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	29.168.0.0/20	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	29.168.16.0/24	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	29.168.17.0/24	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/4	29.168.18.0/26	0.0.0.0/16	0.0.0.0/16		8
16.0.0.0/5	29.168.18.64/27	0.0.0.0/16	0.0.0.0/16		0
24.0.0.0/5	29.168.18.64/27	0.0.0.0/16	0.0.0.0/16		8
16.0.0.0/5	29.168.18.96/27	0.0.0.0/16	0.0.0.0/16		0
24.0.0.0/5	29.168.18.96/27	0.0.0.0/16	0.0.0.0/16		13
16.0.0.0/6	29.168.18.128/26	0.0.0.0/16	0.0.0.0/16		0
20.0.0.0/6	29.168.18.128/26	0.0.0.0/16	0.0.0.0/16		0
24.0.0.0/6	29.168.18.128/26	0.0.0.0/16	0.0.0.0/16		0
28.0.0.0/8	29.168.18.128/26	0.0.0.0/16	0.0.0.0/16		0
29.0.0.0/10	29.168.18.128/26	0.0.0.0/16	0.0.0.0/16		0
29.64.0.0/10	29.168.18.128/26	0.0.0.0/16	0.0.0.0/16		0
29.128.0.0/12	29.168.18.128/26	0.0.0.0/16	0.0.0.0/16		0
29.144.0.0/12	29.168.18.128/26	0.0.0.0/16	0.0.0.0/16		0
29.160.0.0/14	29.168.18.128/26	0.0.0.0/16	0.0.0.0/16		0
29.164.0.0/14	29.168.18.128/26	0.0.0.0/16	0.0.0.0/16		0
29.168.0.0/16	29.168.18.128/26	0.0.0.0/16	0.0.0.0/16		0
29.169.0.0/17	29.168.18.128/27	0.0.0.0/16	0.0.0.0/16		1
29.169.128.0/17	29.168.18.128/27	0.0.0.0/16	0.0.0.0/16		3
29.169.0.0/17	29.168.18.160/27	0.0.0.0/16	0.0.0.0/16		0
29.169.128.0/19	29.168.18.160/27	0.0.0.0/16	0.0.0.0/16		0
29.169.160.0/19	29.168.18.160/27	0.0.0.0/16	0.0.0.0/16		0
