40.0.0.0/6	40.130.208.144/28	0.0.0.0/16	0.0.0.0/16		8
112.0.0.0/4	122.65.244.64/26	0.0.0.0/16	0.0.0.0/16		15
122.85.0.0/18	122.87.152.96/28	0.0.0.0/16	0.0.0.0/16		14
40.128.0.0/9	40.130.208.140/31	0.0.0.0/16	0.0.0.0/16		14
176.0.0.0/4	176.201.0.0/16	0.0.0.0/16	0.0.0.0/16		13
100.0.0.0/6	174.214.0.0/16	0.0.0.0/16	0.0.0.0/16		13
144.0.0.0/4	155.203.0.0/16	0.0.0.0/16	0.0.0.0/16		14
208.0.0.0/4	214.168.230.64/26	0.0.0.0/16	0.0.0.0/16		15
172.190.0.0/15	40.130.208.140/31	0.0.0.0/16	0.0.0.0/16		15
172.191.0.0/17	172.183.53.64/27	0.0.0.0/16	0.0.0.0/16		8
16.0.0.0/4	29.164.226.192/26	0.0.0.0/16	0.0.0.0/16		12
144.0.0.0/4	155.201.0.0/16	0.0.0.0/16	0.0.0.0/16		11
48.0.0.0/4	62.190.124.0/26	0.0.0.0/16	0.0.0.0/16		12
105.253.190.104/30	105.252.8.0/26	0.0.0.0/16	0.0.0.0/16		10
112.0.0.0/4	122.66.116.64/26	0.0.0.0/16	0.0.0.0/16		10
105.253.190.0/23	174.213.251.208/29	0.0.0.0/16	0.0.0.0/16		14
32.0.0.0/4	43.195.128.128/26	0.0.0.0/16	0.0.0.0/16		14
43.212.7.0/24	43.212.112.48/28	0.0.0.0/16	0.0.0.0/16		14
96.0.0.0/6	96.87.203.0/26	0.0.0.0/16	0.0.0.0/16		12
176.202.152.0/21	176.203.192.96/27	0.0.0.0/16	0.0.0.0/16		10
104.0.0.0/5	105.255.24.0/21	0.0.0.0/16	0.0.0.0/16		7
168.0.0.0/5	172.191.98.0/27	0.0.0.0/16	0.0.0.0/16		10
62.188.0.0/14	62.191.3.0/26	0.0.0.0/16	0.0.0.0/16		7
160.0.0.0/4	172.188.130.64/26	0.0.0.0/16	0.0.0.0/16		11
144.0.0.0/4	155.212.196.0/26	0.0.0.0/16	0.0.0.0/16		9
40.0.0.0/5	40.131.244.32/27	0.0.0.0/16	0.0.0.0/16		8
140.0.0.0/6	128.0.0.0/2	0.0.0.0/16	0.0.0.0/16		14
160.0.0.0/4	172.188.130.128/26	0.0.0.0/16	0.0.0.0/16		11
152.0.0.0/8	40.130.208.0/26	0.0.0.0/16	0.0.0.0/16		7
192.0.0.0/5	196.70.0.0/15	0.0.0.0/16	0.0.0.0/16		10
192.0.0.0/5	196.68.185.128/25	0.0.0.0/16	0.0.0.0/16		9
172.191.48.0/22	172.190.236.0/30	0.0.0.0/16	0.0.0.0/16		15
226.236.128.0/17	40.130.208.32/27	0.0.0.0/16	0.0.0.0/16		10
40.128.0.0/9	174.223.100.20/31	0.0.0.0/16	0.0.0.0/16		11
128.0.0.0/5	133.222.128.0/17	0.0.0.0/16	0.0.0.0/16		15
29.169.192.0/18	29.169.185.96/28	0.0.0.0/16	0.0.0.0/16		14
32.0.0.0/4	40.131.248.0/22	0.0.0.0/16	0.0.0.0/16		12
214.168.128.0/17	214.161.59.64/27	0.0.0.0/16	0.0.0.0/16		15
128.0.0.0/5	0.0.0.0/1	0.0.0.0/16	0.0.0.0/16		10
176.192.0.0/12	40.130.208.141/32	0.0.0.0/16	0.0.0.0/16		12
